element,GW,expected_goals
3,24,0.052903
4,3,0.039195
4,5,0.259629
4,10,0.699778
4,34,0.071564
5,6,0.037276
5,9,0.131705
5,12,0.154198
5,13,0.074755
5,14,0.139360
5,17,0.043918
5,18,0.202279
5,19,0.125727
5,21,0.840790
5,23,0.096398
5,24,0.550770
5,25,0.015102
5,26,0.111933
5,28,0.186854
5,32,0.791764
5,36,0.050406
5,37,0.120422
5,38,0.027041
6,1,0.100259
6,2,0.039006
6,3,0.123385
6,4,0.146923
6,6,0.046926
6,7,0.756840
6,10,0.517246
6,11,0.043743
6,12,0.160068
6,13,0.400610
6,15,0.626749
6,16,0.042178
6,17,0.801232
6,18,0.041372
6,23,0.817207
6,24,0.068072
6,25,0.536436
6,26,1.021713
6,27,0.194357
6,28,0.758024
6,30,0.124259
6,31,0.124164
6,32,1.087653
6,33,0.357676
6,34,1.322447
6,35,0.460653
6,36,0.153705
6,38,1.506774
8,3,0.052332
8,4,0.573329
8,6,0.411109
8,7,0.095004
8,8,0.036682
8,9,0.223476
8,13,0.512055
8,14,0.641118
8,15,0.718518
8,16,0.044649
8,17,0.358879
8,18,0.260360
8,19,0.683234
8,20,0.028956
8,21,0.228623
8,22,0.636877
8,27,0.100171
8,30,0.183976
8,32,0.485786
8,33,0.288983
8,34,0.093610
8,38,0.045906
9,9,0.017163
9,11,0.048462
9,21,0.007962
10,3,0.525133
10,15,0.044523
10,23,0.286351
10,26,0.047668
10,27,0.196026
12,2,0.120471
12,3,0.358593
12,4,0.133989
12,8,0.077602
12,9,0.070703
12,10,0.075606
12,11,0.143883
12,12,0.105866
12,13,0.056493
12,14,0.157679
12,15,0.471767
12,16,0.203463
12,17,0.497940
12,18,0.075535
12,19,0.061393
12,20,0.247324
12,21,0.887294
12,22,0.016363
12,23,0.432832
12,24,0.176887
12,25,0.027455
12,26,0.524718
12,27,0.418222
12,30,0.056414
12,34,0.845970
12,35,0.040177
12,37,0.110926
12,38,0.149882
13,1,0.210542
13,2,0.823329
13,3,0.493618
13,4,0.072758
13,5,0.061501
13,6,0.287945
13,7,0.138480
13,8,0.101138
13,9,0.073127
13,10,1.138891
13,11,0.105680
13,13,0.041199
13,14,0.372509
13,16,0.016867
13,19,0.145789
13,20,0.161309
13,22,0.054932
13,24,0.089332
13,25,0.167980
13,31,0.039242
13,32,0.053347
14,1,0.118471
14,2,0.738333
14,3,0.088704
14,4,0.252020
14,5,0.215660
14,6,0.025229
14,7,0.699778
14,8,0.066808
14,13,0.096626
14,14,0.099713
14,15,0.086558
14,16,0.204140
14,17,0.263832
14,18,0.063798
14,19,0.082292
14,20,0.114023
14,21,0.080773
14,22,0.179574
14,23,0.130936
14,24,0.034964
14,25,0.108625
14,27,0.628646
14,28,0.149866
14,31,0.465342
14,32,0.075782
14,33,0.176530
14,34,0.300885
14,35,0.053106
14,36,0.640345
14,37,0.057494
14,38,0.752748
