season,element,club,minutes,exposure,tercile,act90,rec90_fpl,rec90_ust
2023-24,5,1,3042.0,0.053254438,0,0.774556213,0.770466798,0.798346906
2023-24,10,1,941.0,0.426142402,2,0.492561105,0.507226355,0.513778956
2023-24,20,1,3420.0,0.000000000,0,0.745263158,0.750526316,0.777110605
2023-24,25,1,1101.0,0.427792916,2,1.146866485,0.945460945,0.989845879
2023-24,27,17,2568.0,0.158878505,1,1.876401869,1.896939252,1.946128043
2023-24,28,16,1530.0,0.000000000,0,1.495882353,1.512352941,1.478759412
2023-24,29,1,2986.0,0.186202277,1,0.752009377,0.758847957,0.766330125
2023-24,31,1,1688.0,0.466824645,2,0.657405213,0.696356635,0.769405153
2023-24,32,2,1022.0,0.559686888,2,1.629158513,1.622641879,1.705997942
2023-24,36,2,2138.0,0.284377923,2,1.548269411,1.583091674,1.606671646
2023-24,41,2,1797.0,0.098497496,1,1.661268781,1.630233723,1.702729842
2023-24,42,2,2332.0,0.266723842,2,1.607418525,1.651590909,1.639234888
2023-24,48,2,3069.0,0.120234604,1,1.533137830,1.580260671,1.593799578
2023-24,49,2,3015.0,0.014925373,0,1.488656716,1.522238806,1.542652709
2023-24,70,3,1553.0,0.362524147,2,1.451126851,1.371778815,1.376733538
2023-24,77,3,2880.0,0.031250000,0,1.551875000,1.510234375,1.554719852
2023-24,83,3,2239.0,0.276462707,2,1.641223761,1.593112997,1.664676163
2023-24,84,3,2148.0,0.413407821,2,1.383519553,1.358215782,1.404410317
2023-24,89,3,3330.0,0.000000000,0,1.577837838,1.564189189,1.612654824
2023-24,90,4,1816.0,0.355726872,2,1.457544053,1.537901982,1.538120470
2023-24,96,4,2640.0,0.079545455,1,1.418522727,1.415776515,1.414682179
2023-24,101,4,3285.0,0.013698630,0,1.479726027,1.485342466,1.492980329
2023-24,109,4,1272.0,0.221698113,1,1.754716981,1.685786164,1.667215032
2023-24,112,4,2520.0,0.000000000,0,1.397857143,1.417857143,1.403643857
2023-24,113,1,2880.0,0.000000000,0,0.703437500,0.716250000,0.739977281
2023-24,114,4,1961.0,0.632840388,2,1.730698623,1.662488526,1.637708688
2023-24,121,4,1085.0,0.170506912,1,1.635760369,1.675944700,1.730941143
2023-24,129,5,2869.0,0.121645173,1,1.560962008,1.540206518,1.556718151
2023-24,131,5,1242.0,0.275362319,2,1.920289855,1.807181965,1.849301345
2023-24,139,5,908.0,0.801762115,2,1.422356828,1.607439427,1.691058864
2023-24,145,7,1433.0,0.057920447,0,1.489741800,1.533642708,1.509050635
2023-24,148,5,1530.0,0.000000000,0,1.462352941,1.480588235,1.447567176
2023-24,150,5,2367.0,0.011406844,0,1.415209125,1.451482890,1.444039414
2023-24,151,5,1579.0,0.259024699,2,1.460861305,1.426974351,1.362308900
2023-24,152,5,1890.0,0.000000000,0,1.504761905,1.537857143,1.533746262
2023-24,153,5,1142.0,0.133099825,1,1.431173380,1.467521891,1.391350849
2023-24,157,6,1055.0,0.061611374,0,1.759905213,1.787203791,1.799351000
2023-24,160,6,1234.0,0.270664506,2,1.522123177,1.606231767,1.701281092
2023-24,172,6,900.0,0.000000000,0,2.043000000,1.932500000,1.971426650
2023-24,173,6,2892.0,0.097510373,1,1.951244813,1.890926694,1.926102892
2023-24,178,6,2329.0,0.149849721,1,1.691799055,1.618531559,1.624253278
2023-24,182,6,2311.0,0.299004760,2,1.776633492,1.736209433,1.802629882
2023-24,191,7,1337.0,0.124906507,1,1.711144353,1.572081152,1.568547887
2023-24,194,7,934.0,0.132762313,1,1.470449679,1.508163812,1.501249980
2023-24,197,7,1794.0,0.247491639,2,1.426254181,1.460395764,1.452198403
2023-24,198,7,1783.0,0.141895681,1,1.573864274,1.633123948,1.624893006
2023-24,203,7,1745.0,0.535816619,2,1.347163324,1.459386819,1.501860774
2023-24,217,7,2525.0,0.144554455,1,1.522693069,1.555204950,1.551410259
2023-24,220,8,3416.0,0.025175644,0,1.415076112,1.428038642,1.433920579
2023-24,222,8,1334.0,0.257871064,2,1.460644678,1.490217391,1.451441048
2023-24,228,8,2008.0,0.103585657,1,1.412300797,1.433202191,1.430880590
2023-24,230,8,1796.0,0.047884187,0,1.361525612,1.396848552,1.435565645
2023-24,234,8,3204.0,0.101123596,1,1.428089888,1.426201623,1.434750484
2023-24,238,8,2091.0,0.010043042,0,1.427259684,1.426159732,1.415368181
2023-24,242,8,1978.0,0.135490394,1,1.408695652,1.410298281,1.450488724
2023-24,245,9,3116.0,0.017971759,0,1.427695764,1.430285623,1.435462005
2023-24,252,9,1119.0,0.276139410,2,1.506434316,1.423771224,1.464117067
2023-24,260,9,2469.0,0.125151883,1,1.456986634,1.483481166,1.483368758
2023-24,262,9,984.0,0.268292683,2,1.884146341,1.698241870,1.682587752
2023-24,263,9,3420.0,0.000000000,0,1.473947368,1.485394737,1.487575408
2023-24,265,9,3420.0,0.000000000,0,1.464210526,1.485394737,1.487575408
2023-24,271,10,1423.0,0.114546732,1,2.099789178,1.883731553,1.854536867
2023-24,275,10,3420.0,0.000000000,0,1.687894737,1.646184211,1.595750579
2023-24,281,10,1503.0,0.101796407,1,2.037724551,1.635828343,1.513706980
2023-24,283,10,3266.0,0.118187385,1,1.706582976,1.665639927,1.615116401
2023-24,286,10,1616.0,0.053217822,0,1.569987624,1.559814356,1.557563990
2023-24,290,11,2153.0,0.414770088,2,1.168787738,1.213464933,1.192661350
2023-24,291,11,2520.0,0.000000000,0,1.257500000,1.254642857,1.201898946
2023-24,298,11,1772.0,0.441309255,2,1.375395034,1.252547968,1.120600029
2023-24,301,11,900.0,0.000000000,0,1.033000000,1.020000000,0.947937500
2023-24,302,11,1570.0,0.254777070,2,1.227898089,1.107675159,1.084217513
2023-24,307,11,1659.0,0.294755877,2,1.238517179,1.259183243,1.217880969
2023-24,313,11,3177.0,0.008498584,0,1.295184136,1.208413598,1.162250340
