season,element,club,minutes,exposure,tercile,act90,rec90_fpl,rec90_ust
2022-23,2,9,2160.0,0.000000000,0,1.619087500,1.608585417,1.580911979
2022-23,10,1,1994.0,0.322968907,2,1.203950853,1.235516851,1.241152706
2022-23,15,1,2250.0,0.000000000,0,1.234348000,1.254630000,1.252007000
2022-23,16,1,2239.0,0.075480125,1,1.221519875,1.257497767,1.253855156
2022-23,26,1,1260.0,0.000000000,0,1.103478571,1.141839286,1.079151500
2022-23,31,2,1935.0,0.023255814,0,1.269958140,1.290813953,1.161484930
2022-23,39,2,2070.0,0.000000000,0,1.277852174,1.288000000,1.174205348
2022-23,44,2,2151.0,0.037656904,0,1.378979079,1.349652720,1.235140866
2022-23,57,3,1725.0,0.373913043,2,1.658566957,1.853546087,1.784486554
2022-23,71,3,946.0,0.048625793,1,1.816905920,1.820058140,1.835392041
2022-23,73,3,1590.0,0.037735849,0,1.629186792,1.806194340,1.710718189
2022-23,81,4,2160.0,0.000000000,0,1.284912500,1.238579167,1.126095979
2022-23,85,4,1984.0,0.228830645,2,1.339348790,1.278920363,1.166787840
2022-23,92,4,2160.0,0.000000000,0,1.284912500,1.238579167,1.126095979
2022-23,102,5,1350.0,0.000000000,0,1.564000000,1.469666667,1.327107167
2022-23,106,5,2070.0,0.043478261,1,1.386521739,1.320960870,1.189373717
2022-23,109,5,1268.0,0.574132492,2,1.164563091,1.157639274,0.937860886
2022-23,113,5,900.0,0.000000000,0,1.305360000,1.218710000,1.085888100
2022-23,128,6,1343.0,0.128816083,1,1.236612063,1.370768131,1.236312158
2022-23,133,6,2070.0,0.000000000,0,1.355826087,1.330010870,1.191514435
2022-23,139,6,965.0,0.440414508,2,1.270259067,1.282056995,1.198245314
2022-23,141,6,955.0,0.246073298,2,1.770964398,1.586385707,1.477264908
2022-23,152,7,1260.0,0.071428571,1,1.462678571,1.490085714,1.428830554
2022-23,156,7,1263.0,0.216152019,1,1.120510689,0.970392478,0.957002618
2022-23,157,7,1132.0,0.284452297,2,1.401360424,1.575650795,1.501751078
2022-23,165,7,1702.0,0.048178613,1,1.038680376,1.119662427,1.068390416
2022-23,167,7,2160.0,0.000000000,0,1.197987500,1.226054167,1.162013083
2022-23,170,7,1973.0,0.087683730,1,1.388618348,1.274750836,1.188392195
2022-23,178,8,1111.0,0.594959496,2,1.865260126,1.876902340,1.715680500
2022-23,180,8,961.0,0.157127992,1,2.142767950,2.015244537,1.844006412
2022-23,182,8,2160.0,0.000000000,0,1.833920833,1.809750000,1.698615354
2022-23,194,8,1398.0,0.098712446,1,1.952021459,1.893213805,1.828752456
2022-23,199,8,2160.0,0.000000000,0,1.833920833,1.809750000,1.698615354
2022-23,201,9,1641.0,0.012797075,0,1.537738574,1.471360146,1.465697779
2022-23,209,9,1183.0,0.010989011,0,1.760637363,1.694586813,1.664378950
2022-23,215,9,1861.0,0.226222461,2,1.620120903,1.554964481,1.504972994
2022-23,217,9,2070.0,0.000000000,0,1.596973913,1.585919565,1.572530935
2022-23,222,11,1905.0,0.055118110,1,1.804483465,1.798379738,1.710142092
2022-23,230,11,2050.0,0.165853659,1,1.943402927,1.897419951,1.805511241
2022-23,235,11,1124.0,0.279359431,2,1.938923488,2.069345196,1.954684105
2022-23,238,11,1890.0,0.000000000,0,1.809352381,1.797338095,1.690206333
2022-23,239,11,1249.0,0.207365893,1,2.023378703,1.913186549,1.805957594
2022-23,244,11,997.0,0.368104313,2,2.434233701,2.345914644,2.298342815
2022-23,254,10,1080.0,0.000000000,0,1.796983333,1.911104167,1.620224583
2022-23,258,10,2154.0,0.038997214,0,1.782192201,1.844355850,1.544866872
2022-23,272,6,1002.0,0.640718563,2,1.588922156,1.497375250,1.422610514
