element,GW,expected_goals
1,30,0.018690
1,34,0.031475
3,2,0.557016
3,4,0.099423
3,6,0.109218
3,8,0.018381
3,9,0.378636
3,10,0.056093
3,13,0.356442
3,14,0.033559
3,15,0.048802
3,17,0.062955
3,19,0.219005
3,20,0.095281
3,22,0.072212
3,23,0.039610
3,24,0.034406
3,27,0.126765
3,28,0.602152
3,29,0.263272
3,30,0.027382
3,33,0.013827
3,34,0.850685
3,36,0.052728
3,38,1.105430
5,28,0.089032
5,31,0.077545
5,32,0.040324
5,33,0.130923
6,1,0.044262
6,2,0.208599
6,9,0.039864
6,14,0.094028
6,15,0.628738
6,17,0.020892
6,18,0.042271
6,19,0.030756
6,20,0.078153
6,21,0.106157
6,22,0.018080
6,23,0.014214
6,26,0.494316
6,28,0.077063
6,32,0.063270
6,33,0.052312
7,1,0.099976
7,2,0.041484
7,3,0.600494
7,4,0.137479
7,5,0.250348
7,6,0.105871
7,9,0.097667
7,10,0.173434
7,11,0.166836
7,13,0.052380
7,14,0.187435
7,15,0.085978
7,16,1.298039
7,17,0.304509
7,18,0.054982
7,19,0.146489
7,20,0.112138
7,21,0.403055
7,22,0.082457
7,23,0.140701
7,24,0.321903
7,25,0.687045
7,26,0.478600
7,27,0.253590
7,28,0.171694
7,30,0.027976
7,31,0.541989
7,32,0.220045
7,34,0.463297
7,35,0.435546
7,36,0.046028
7,37,0.016578
7,38,0.043828
8,4,0.009292
8,5,0.150224
8,8,0.022613
8,9,0.015665
8,30,0.031573
8,37,0.044956
10,9,0.014973
10,14,0.094157
10,15,0.069610
10,16,0.025929
10,23,0.010842
10,26,0.044832
10,29,0.583261
10,32,0.043035
11,2,0.064004
11,3,0.239972
11,4,0.506095
11,5,0.073100
11,11,0.039410
11,13,0.060937
11,17,0.460478
11,18,0.888940
11,19,0.101886
11,20,1.414297
11,21,1.625822
11,22,0.122841
11,23,0.719532
11,24,0.947812
11,25,0.388918
11,38,0.672846
12,3,0.072251
12,6,0.064676
12,25,0.127065
12,26,0.033477
13,1,0.209980
13,2,0.071336
13,3,0.037998
13,4,0.139305
13,5,0.528059
13,6,0.518032
13,8,0.195037
13,9,0.190343
13,10,1.702328
13,11,0.061582
13,13,0.063172
13,14,0.093283
13,15,0.074962
13,17,0.390805
13,18,0.421599
13,19,0.092640
13,20,0.063271
13,21,0.233251
13,22,0.170814
13,23,0.963745
13,24,0.237024
13,25,0.573814
13,26,0.660517
13,28,0.272244
13,31,0.860949
13,32,0.510910
13,33,0.047236
13,34,0.329043
