element,GW,expected_goals
2,6,0.097133
2,7,0.265147
2,9,0.110752
2,12,0.103046
2,13,0.087181
2,16,0.140904
2,17,0.956587
2,19,0.639107
2,20,0.738896
3,1,0.059056
3,3,0.041539
3,4,0.479114
3,5,1.003160
3,6,0.475303
3,7,0.259452
3,8,0.036674
3,12,0.036443
3,13,0.410110
3,17,0.491824
3,18,0.459333
3,21,0.017780
3,23,0.081479
3,24,0.072171
3,26,0.075854
4,1,0.653177
4,2,0.571174
4,3,0.694468
4,4,0.133064
4,5,0.085026
4,6,2.085653
4,7,1.068513
4,8,0.063296
4,9,0.157938
4,13,0.525710
4,14,0.408618
4,15,0.453735
4,16,0.041929
4,17,0.866900
4,18,0.987596
4,21,0.686642
4,22,0.402220
4,23,0.444977
4,24,0.603099
4,38,0.068672
6,1,0.021938
6,4,0.063841
6,6,0.155976
6,10,0.054008
6,11,0.034801
6,12,0.039206
6,13,0.146560
6,14,0.293765
6,18,0.019993
6,24,0.016682
6,30,0.295787
6,31,0.078759
7,7,0.034400
7,32,0.020665
8,30,0.067226
8,32,0.018700
8,33,0.113416
9,1,0.081584
9,4,0.230880
9,6,0.788237
9,7,0.548016
9,8,0.555409
9,9,0.034694
9,11,0.615051
9,14,0.476213
9,16,0.155081
9,17,0.721816
9,19,0.240081
9,21,0.070570
9,22,0.613789
9,24,0.142908
9,28,0.643574
9,29,0.108350
9,30,0.364508
9,31,0.054821
9,32,0.117246
9,33,0.812329
9,35,0.120437
9,36,0.380939
9,37,0.157821
9,38,0.534110
10,4,0.140070
10,5,0.371910
10,10,0.419901
10,11,0.305734
10,13,0.081323
11,4,0.382119
11,5,0.065495
11,6,0.100537
11,7,0.056660
11,8,0.197541
11,10,0.096009
11,16,0.394169
11,21,0.053955
11,22,0.377320
11,23,0.087778
11,25,0.061387
11,27,0.906409
11,28,0.972259
11,30,0.456795
11,32,0.160442
11,33,0.654322
11,35,0.386475
11,36,0.552456
11,37,0.574923
11,38,0.115535
12,6,0.019367
12,10,0.029481
12,12,0.192502
12,19,0.060423
12,20,0.266864
12,23,0.184774
12,24,0.048933
12,25,0.284256
12,26,0.026924
12,27,0.148018
12,30,0.094507
12,32,0.055639
12,33,0.162950
12,38,0.076829
13,1,0.016987
13,2,0.449527
13,3,0.287107
13,11,0.111480
13,12,0.179880
13,13,0.742452
13,14,0.114808
13,16,0.525334
13,17,0.114581
13,18,0.295535
13,19,0.015886
13,21,0.550882
13,22,0.073643
13,24,0.419082
13,25,0.032044
13,26,0.104671
13,28,0.294271
