season,element,club,minutes,exposure,tercile,act90,rec90_fpl,rec90_ust
2024-25,3,1,2348.0,0.041737649,0,0.885051107,0.919795571,0.937909471
2024-25,6,1,2386.0,0.321039396,2,0.795515507,0.824461442,0.820535814
2024-25,8,1,1117.0,0.194270367,1,1.185228290,0.982820054,1.110842629
2024-25,14,17,2700.0,0.000000000,0,2.211333333,2.202666667,2.342526533
2024-25,15,1,3420.0,0.000000000,0,0.921842105,0.923815789,0.974805053
2024-25,18,1,3039.0,0.052319842,1,0.897926950,0.898377756,0.936375542
2024-25,24,1,1191.0,0.319899244,2,1.275566751,1.254840470,1.356970936
2024-25,26,16,952.0,0.716386555,2,1.317857143,1.340577731,1.445596056
2024-25,32,2,2069.0,0.347510875,2,1.245819236,1.296575640,1.372898248
2024-25,36,2,2348.0,0.501703578,2,1.339267462,1.350351363,1.443185187
2024-25,44,2,2936.0,0.019073569,0,1.343256131,1.353610354,1.406899134
2024-25,45,2,1066.0,0.577861163,2,1.461444653,1.331299250,1.301299517
2024-25,47,2,3195.0,0.042253521,0,1.267323944,1.277323944,1.341991803
2024-25,49,2,1119.0,0.436997319,2,1.061662198,1.099432529,1.074317424
2024-25,52,2,2019.0,0.063893016,1,1.323476969,1.299819217,1.400233930
2024-25,70,3,3336.0,0.136690647,1,1.313579137,1.288342326,1.343342279
2024-25,79,3,1089.0,0.421487603,2,1.219834711,1.084031221,1.250804151
2024-25,81,3,1586.0,0.602774275,2,1.080453972,1.172991803,1.218937799
2024-25,85,3,3109.0,0.131553554,1,1.231457060,1.243351560,1.315051803
2024-25,86,4,1433.0,0.560362875,2,1.362875087,1.384570830,1.328083144
2024-25,88,4,3420.0,0.000000000,0,1.481842105,1.477368421,1.502103289
2024-25,91,4,3275.0,0.010687023,0,1.506503817,1.505603053,1.531715527
2024-25,104,4,1912.0,0.058577406,1,1.615951883,1.635700837,1.698678758
2024-25,105,4,1093.0,0.258920403,2,1.772003660,1.670475755,1.748818209
2024-25,120,5,2054.0,0.079844206,1,1.563826680,1.579503408,1.533648712
2024-25,122,5,2399.0,0.174656107,1,1.494997916,1.478499375,1.498775313
2024-25,128,5,959.0,0.249217935,2,1.615119917,1.600917623,1.599019161
2024-25,144,5,2960.0,0.027027027,0,1.358209459,1.362577703,1.408969760
2024-25,145,5,1663.0,0.242333133,2,1.343776308,1.373036681,1.409180547
2024-25,146,5,3240.0,0.000000000,0,1.475000000,1.476388889,1.498788139
2024-25,152,3,2790.0,0.000000000,0,1.252580645,1.246451613,1.288907774
2024-25,159,6,1962.0,0.174311927,1,1.245412844,1.385356779,1.517245511
2024-25,162,6,3150.0,0.000000000,0,1.243428571,1.258000000,1.337698257
2024-25,163,6,2976.0,0.122983871,1,1.207862903,1.213793683,1.312055582
2024-25,171,6,1835.0,0.313351499,2,1.345340599,1.329972752,1.504469801
2024-25,172,6,1055.0,0.573459716,2,1.373459716,1.364834123,1.382792484
2024-25,185,6,2880.0,0.000000000,0,1.204687500,1.211250000,1.291814938
2024-25,187,6,1398.0,0.163090129,1,1.263090129,1.212131617,1.230262018
2024-25,189,6,1172.0,0.232081911,2,1.133447099,1.142713311,1.221416453
2024-25,191,9,2673.0,0.023569024,0,1.274410774,1.329292929,1.258447751
2024-25,194,7,1920.0,0.156250000,1,1.395937500,1.483777344,1.638361574
2024-25,200,7,3059.0,0.058515855,1,1.222458320,1.323631906,1.461072401
2024-25,201,7,3420.0,0.000000000,0,1.324473684,1.383289474,1.518241513
2024-25,210,7,3090.0,0.300970874,2,1.352912621,1.383297735,1.521687106
2024-25,211,7,3229.0,0.080210592,1,1.290492413,1.340805203,1.463134073
2024-25,219,8,2507.0,0.030714001,0,1.070881532,1.130833666,1.224704429
2024-25,228,8,1046.0,0.053537285,1,1.648565966,1.517237094,1.665425551
2024-25,231,8,3082.0,0.065541856,1,1.162524335,1.203054023,1.315252203
2024-25,235,8,3420.0,0.000000000,0,1.213421053,1.252368421,1.358726553
2024-25,236,8,2922.0,0.045174538,0,1.210472279,1.285847023,1.411956619
2024-25,238,8,1863.0,0.323671498,2,1.264251208,1.192208803,1.360921545
2024-25,241,9,3074.0,0.004554327,0,1.148275862,1.169759271,1.162947700
2024-25,244,9,1642.0,0.123020706,1,1.227222899,1.171997564,1.160018538
2024-25,245,9,1323.0,0.115646259,1,1.359183673,1.385185185,1.360163237
2024-25,248,9,3420.0,0.000000000,0,1.256578947,1.276052632,1.237757737
2024-25,255,9,3166.0,0.033480733,0,1.273246999,1.297068857,1.255968638
2024-25,257,9,1773.0,0.238578680,2,1.294416244,1.371714608,1.308637021
2024-25,263,10,1540.0,0.064935065,1,2.055389610,2.062905844,2.196684458
2024-25,267,10,2742.0,0.113785558,1,1.992341357,1.963419037,2.055987380
2024-25,270,10,2205.0,0.020408163,0,1.857551020,1.822857143,1.965794878
2024-25,275,10,1329.0,0.255079007,2,2.565914221,2.453799850,2.624189859
2024-25,282,10,1709.0,0.368051492,2,1.685722645,1.694566998,1.816622514
2024-25,284,10,1187.0,0.090143218,1,2.006234204,2.023205560,2.105751785
2024-25,288,11,1712.0,0.106308411,1,2.037091121,2.020350467,2.122668013
2024-25,291,11,2812.0,0.039829303,0,1.873613087,1.841518492,2.087545595
2024-25,293,11,2385.0,0.018867925,0,2.078867925,2.096603774,2.271073585
2024-25,295,11,2905.0,0.256454389,2,1.972874355,1.979578313,2.100726746
2024-25,296,11,2481.0,0.274486094,2,1.972672310,1.896944780,2.042314783
2024-25,301,11,1116.0,0.193548387,1,2.235483871,2.370161290,2.556772401
2024-25,304,11,900.0,0.000000000,0,1.483000000,1.486000000,1.720162800
2024-25,305,11,1109.0,0.269612263,2,2.035347160,1.938277728,2.169335096
2024-25,307,11,1390.0,0.352517986,2,1.621942446,1.718615108,1.822048257
2024-25,310,12,2508.0,0.031100478,0,0.972488038,1.033181818,1.047553678
2024-25,311,12,2362.0,0.504657070,2,0.825698561,0.898715072,0.944690981
2024-25,325,12,900.0,0.000000000,0,1.109000000,1.105000000,1.223143900
2024-25,326,12,2561.0,0.191721984,1,0.937251074,0.991125537,1.074484892
2024-25,335,12,2479.0,0.455425575,2,0.976603469,1.031248487,1.077863986
2024-25,338,4,2584.0,0.129256966,1,1.553753870,1.550630805,1.588420589
2024-25,339,12,3330.0,0.000000000,0,0.976486486,1.017837838,1.065575689
2024-25,340,13,1980.0,0.090909091,1,1.350909091,1.344482323,1.434486513
2024-25,347,13,2320.0,0.030172414,0,1.144396552,1.145000000,1.184880328
2024-25,350,13,3278.0,0.066503966,1,1.215466748,1.243737035,1.280459899
2024-25,355,13,1880.0,0.281914894,2,1.321276596,1.317255319,1.354668493
2024-25,358,13,1099.0,0.017288444,0,1.565787079,1.609454049,1.641165118
2024-25,361,13,2269.0,0.008373733,0,1.169325694,1.186218599,1.187786928
2024-25,363,13,966.0,0.254658385,2,1.794409938,1.836293996,1.952811331
2024-25,369,14,2812.0,0.039829303,0,1.502667141,1.503830014,1.548466806
2024-25,377,14,1710.0,0.315789474,2,1.412105263,1.456719298,1.462601144
2024-25,380,14,1751.0,0.126213592,1,1.550713878,1.557944032,1.551109146
2024-25,383,14,3060.0,0.000000000,0,1.405588235,1.425882353,1.451279529
2024-25,388,19,3154.0,0.029803424,0,1.625079264,1.616182625,1.674655948
2024-25,395,15,3330.0,0.000000000,0,1.222162162,1.222432432,1.322043865
2024-25,396,15,900.0,0.000000000,0,1.119000000,1.142000000,1.153893700
2024-25,399,15,2188.0,0.218464351,1,1.222897623,1.266444241,1.363826920
2024-25,409,15,2835.0,0.206349206,1,1.200952381,1.224172840,1.315659386
2024-25,413,15,2520.0,0.000000000,0,1.247857143,1.240000000,1.366196679
