element,GW,starts,understat_matches
1,14,1,1
1,19,0,1
1,20,0,1
1,23,1,1
1,24,1,1
1,25,1,1
1,26,1,1
1,27,1,1
1,30,2,2
1,31,1,1
1,32,1,1
1,33,1,1
1,34,1,1
1,35,1,1
2,12,1,1
2,13,1,1
2,15,1,1
2,24,1,1
2,25,1,1
2,26,1,1
2,27,1,1
2,29,0,1
2,30,2,2
2,31,1,1
2,32,1,1
2,33,0,1
2,34,1,1
2,35,1,1
3,2,0,1
3,4,1,1
3,5,1,1
3,6,1,1
3,7,1,1
3,8,1,1
3,9,1,1
3,10,0,1
3,11,0,1
3,12,1,1
3,14,1,1
3,15,1,1
3,16,0,1
3,17,1,1
3,21,1,1
3,22,1,1
3,27,1,1
3,30,1,1
3,31,0,1
3,32,1,1
3,33,1,1
3,34,1,1
3,35,1,1
3,36,0,1
3,37,1,1
3,38,0,1
4,1,1,1
4,2,1,1
4,3,1,1
4,4,1,1
4,5,1,1
4,6,1,1
4,16,1,1
4,17,1,1
4,18,1,1
4,19,1,1
4,20,1,1
4,21,1,1
4,22,1,1
4,23,1,1
4,30,0,1
4,31,0,1
4,33,0,1
4,34,0,1
4,36,0,1
4,38,1,1
5,1,1,1
5,2,1,1
5,3,1,1
5,4,1,1
5,5,1,1
5,6,1,1
5,7,1,1
5,8,1,1
5,9,1,1
5,10,1,1
5,11,1,1
5,13,1,1
5,15,1,1
5,16,1,1
5,17,1,1
5,19,1,1
5,21,1,1
5,22,1,1
5,29,1,1
6,1,1,1
6,2,1,1
6,3,1,1
10,12,1,1
10,24,0,1
10,30,1,1
10,31,1,1
10,32,0,1
10,36,1,1
10,37,1,1
10,38,1,1
11,1,1,1
11,2,1,1
11,3,1,1
11,4,1,1
11,5,1,1
11,6,1,1
11,7,1,1
11,8,1,1
11,9,1,1
11,10,1,1
11,11,1,1
11,12,1,1
11,13,1,1
11,14,1,1
11,15,1,1
11,16,1,1
11,17,1,1
11,18,1,1
11,19,1,1
11,20,1,1
11,21,1,1
11,22,1,1
11,25,1,1
11,26,1,1
11,27,1,1
11,29,1,1
11,30,2,2
11,31,1,1
11,32,1,1
11,33,1,1
11,34,1,1
11,35,1,1
11,36,0,1
11,37,1,1
11,38,1,1
12,2,1,1
12,3,0,1
12,4,1,1
12,9,0,1
12,10,1,1
12,11,1,1
12,12,1,1
12,13,1,1
12,14,1,1
12,15,1,1
12,18,0,1
12,19,1,1
12,20,1,1
12,21,1,1
12,22,1,1
12,23,1,1
12,24,1,1
12,25,1,1
12,26,0,1
12,29,0,1
12,30,1,2
12,31,0,1
12,32,1,1
12,33,0,1
12,34,1,1
12,35,1,1
12,36,1,1
12,37,1,1
12,38,1,1
13,23,0,1
13,25,0,1
13,26,1,1
13,27,1,1
13,29,1,1
13,30,1,2
13,31,1,1
13,32,0,1
13,33,1,1
13,34,0,1
13,37,1,1
13,38,0,1
14,1,1,1
14,2,1,1
14,3,1,1
14,4,1,1
14,5,1,1
14,6,1,1
14,7,1,1
14,8,1,1
14,9,1,1
14,10,1,1
14,11,1,1
14,12,1,1
14,13,1,1
14,14,1,1
14,15,1,1
14,16,1,1
14,17,1,1
14,18,1,1
14,19,1,1
14,20,1,1
14,21,1,1
14,22,1,1
14,23,1,1
14,24,1,1
14,25,1,1
14,26,1,1
14,27,1,1
14,29,1,1
14,30,2,2
15,5,1,1
15,11,1,1
15,12,1,1
15,13,1,1
15,14,1,1
15,15,1,1
15,16,1,1
15,17,1,1
15,19,1,1
15,20,1,1
15,21,1,1
15,22,1,1
15,23,1,1
15,24,1,1
15,25,1,1
15,26,1,1
15,27,1,1
15,29,1,1
16,1,1,1
16,3,0,1
16,4,0,1
17,3,0,1
17,4,1,1
17,5,1,1
17,6,0,1
17,7,0,1
17,8,1,1
17,9,1,1
17,10,1,1
17,11,1,1
17,12,0,1
17,13,0,1
17,14,1,1
17,15,1,1
17,16,1,1
17,17,1,1
17,18,1,1
17,25,1,1
17,27,1,1
17,30,1,1
17,31,1,1
17,32,1,1
17,33,1,1
17,34,1,1
17,35,0,1
17,36,1,1
18,1,1,1
18,3,1,1
18,4,1,1
18,5,1,1
18,6,1,1
18,7,1,1
18,8,1,1
18,9,1,1
18,10,1,1
18,14,1,1
18,15,1,1
18,16,1,1
18,18,1,1
18,19,1,1
18,21,1,1
18,22,1,1
18,23,1,1
18,24,1,1
18,25,1,1
18,26,1,1
18,27,1,1
18,29,1,1
18,30,1,1
18,31,1,1
18,32,1,1
18,33,1,1
18,34,1,1
18,35,1,1
18,36,1,1
18,37,0,1
18,38,1,1
19,2,0,1
19,3,0,1
19,4,1,1
19,5,0,1
19,6,0,1
19,7,1,1
19,8,0,1
19,11,1,1
19,12,1,1
19,13,1,1
19,14,0,1
19,15,1,1
19,16,1,1
19,17,1,1
19,18,1,1
19,19,1,1
19,20,1,1
19,21,1,1
19,22,1,1
19,23,1,1
19,24,1,1
19,25,0,1
19,26,0,1
19,27,0,1
19,33,0,1
19,34,0,1
19,36,1,1
19,37,1,1
19,38,0,1
21,1,1,1
21,2,1,1
21,3,1,1
21,4,1,1
21,5,1,1
21,6,1,1
21,7,1,1
21,8,1,1
21,9,1,1
21,10,1,1
