element,GW,starts,understat_matches
1,14,0,1
2,3,1,1
2,4,1,1
2,5,1,1
2,6,1,1
2,8,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,12,1,1
2,13,1,1
2,14,1,1
2,15,1,1
3,1,1,1
3,2,1,1
3,3,1,1
3,4,1,1
3,5,1,1
3,6,1,1
3,8,1,1
3,9,1,1
3,10,1,1
3,11,1,1
3,13,1,1
3,14,1,1
3,15,1,1
4,4,1,1
4,15,0,1
5,4,0,1
5,5,0,1
5,11,0,1
5,15,0,1
6,1,1,1
6,2,1,1
6,3,1,1
6,8,1,1
6,9,1,1
6,10,1,1
6,11,1,1
6,13,1,1
6,14,1,1
6,15,1,1
7,1,1,1
7,2,1,1
7,3,1,1
7,4,1,1
7,5,1,1
7,6,1,1
7,9,1,1
7,10,1,1
7,11,1,1
7,13,1,1
7,14,1,1
7,15,1,1
8,1,0,1
8,2,0,1
8,3,0,1
8,4,1,1
8,5,1,1
8,8,1,1
8,9,0,1
8,10,0,1
8,11,0,1
8,13,0,1
8,14,0,1
8,15,0,1
10,1,1,1
10,2,1,1
10,3,1,1
10,4,1,1
10,5,1,1
10,6,1,1
10,8,1,1
10,9,1,1
10,10,1,1
10,11,1,1
10,13,1,1
10,14,1,1
10,15,1,1
11,1,0,1
11,2,0,1
11,3,0,1
11,4,0,1
11,5,0,1
11,6,0,1
11,8,0,1
11,9,0,1
11,10,0,1
11,11,0,1
11,13,0,1
11,14,0,1
12,2,0,1
12,3,0,1
12,5,0,1
12,6,0,1
13,1,1,1
13,2,1,1
13,3,1,1
13,4,1,1
13,5,1,1
13,6,1,1
13,8,1,1
13,9,1,1
13,10,1,1
13,11,1,1
13,13,1,1
13,14,1,1
13,15,1,1
14,2,0,1
14,3,0,1
14,4,0,1
14,5,0,1
14,6,0,1
14,8,0,1
14,9,0,1
14,10,1,1
14,11,1,1
14,13,1,1
14,14,1,1
15,1,1,1
15,2,1,1
15,3,1,1
15,4,1,1
15,5,1,1
15,6,1,1
15,8,1,1
15,9,1,1
15,10,1,1
15,11,1,1
15,13,1,1
15,14,1,1
15,15,1,1
16,1,1,1
16,2,1,1
16,3,1,1
16,4,1,1
16,5,1,1
16,6,1,1
16,8,1,1
16,9,1,1
16,10,1,1
16,11,1,1
16,13,1,1
16,14,1,1
16,15,1,1
18,1,0,1
18,3,0,1
18,5,1,1
18,6,1,1
18,8,0,1
18,9,0,1
19,1,1,1
19,2,1,1
19,3,1,1
19,4,1,1
19,5,1,1
19,6,1,1
19,8,1,1
19,9,1,1
19,10,1,1
19,11,1,1
19,13,1,1
19,14,1,1
19,15,1,1
21,6,0,1
21,9,1,1
21,11,1,1
21,12,1,1
21,14,0,1
21,15,1,1
23,14,0,1
25,6,0,1
25,8,1,1
25,9,0,1
25,10,0,1
25,11,0,1
25,13,0,1
25,14,0,1
26,1,1,1
26,2,1,1
26,3,1,1
26,4,1,1
26,5,1,1
26,6,1,1
26,8,1,1
26,9,1,1
26,10,1,1
26,11,1,1
26,13,1,1
26,14,1,1
26,15,1,1
27,8,0,1
28,1,1,1
28,2,1,1
28,3,1,1
28,4,1,1
28,5,1,1
28,6,1,1
28,8,1,1
28,9,1,1
28,10,1,1
28,11,1,1
28,13,1,1
28,14,1,1
28,15,1,1
29,1,1,1
29,2,1,1
29,3,0,1
29,4,1,1
29,5,0,1
29,6,0,1
29,8,1,1
29,9,1,1
29,10,1,1
29,11,0,1
29,13,0,1
29,14,0,1
30,1,1,1
30,2,1,1
30,3,0,1
30,4,1,1
30,5,0,1
30,8,0,1
30,9,0,1
30,10,0,1
30,11,1,1
30,12,1,1
30,13,1,1
30,14,1,1
30,15,0,1
31,1,1,1
31,2,1,1
31,3,1,1
31,4,1,1
31,5,1,1
31,6,1,1
31,8,1,1
31,9,1,1
31,10,1,1
31,11,1,1
31,12,1,1
31,13,1,1
31,14,1,1
31,15,1,1
32,2,0,1
32,4,1,1
32,13,0,1
33,1,1,1
33,2,1,1
33,3,1,1
33,4,1,1
33,5,1,1
33,6,1,1
33,8,1,1
33,14,0,1
33,15,1,1
35,14,0,1
36,15,0,1
37,1,1,1
37,2,1,1
37,3,1,1
37,4,1,1
37,5,1,1
37,6,1,1
37,8,1,1
37,9,1,1
37,10,1,1
37,11,1,1
37,12,1,1
37,13,0,1
37,14,0,1
37,15,0,1
39,2,1,1
39,3,1,1
39,5,1,1
39,6,1,1
39,8,1,1
39,9,1,1
39,10,1,1
39,11,1,1
39,12,1,1
