element,GW,expected_goals,expected_assists
3,17,0.017735,0.000000
3,23,0.845442,0.000000
3,25,0.554073,0.000000
3,28,0.523620,0.000000
3,30,0.000000,0.069805
3,36,0.000000,0.028411
4,1,0.041970,0.016252
4,2,0.000000,0.411852
4,3,0.000000,0.358950
4,4,0.018285,0.000000
4,6,0.117796,0.000000
4,8,0.049884,0.112879
4,9,0.070302,0.596524
4,10,0.100206,0.000000
4,11,0.077988,0.000000
4,12,0.096900,0.457108
4,13,0.053132,0.000000
4,14,0.127045,0.000000
4,15,0.097771,0.000000
4,16,0.033311,0.000000
4,23,0.000000,0.059517
5,2,0.049604,0.068929
5,3,0.490339,0.000000
5,4,0.395078,0.000000
5,6,0.127198,0.012533
5,7,0.054743,0.024764
5,8,0.000000,0.350799
5,17,0.000000,0.205330
5,25,0.000000,0.492953
5,29,0.000000,0.341319
5,34,0.000000,0.060121
5,35,0.011643,0.009917
5,38,0.000000,0.075409
6,9,0.099091,0.000000
6,13,0.000000,0.047864
6,14,0.011532,0.087707
7,1,0.006928,0.000000
7,2,0.000000,0.031287
7,3,0.088450,0.000000
7,4,0.250086,0.099978
7,7,0.071327,0.000000
7,9,0.017047,0.000000
7,14,0.270553,0.039621
7,15,0.243785,0.000000
7,24,0.095509,0.000000
7,33,0.000000,0.012081
7,34,0.015293,0.000000
7,35,0.520974,0.000000
7,37,0.130738,0.010911
7,38,0.000000,0.033458
8,11,0.000000,0.466056
8,13,0.074168,0.600031
8,14,0.000000,0.296544
8,15,0.000000,0.971883
8,16,0.000000,0.037381
8,18,0.000000,0.179806
8,21,0.000000,1.376802
8,22,0.000000,0.075905
8,23,0.076047,0.141325
8,24,0.054425,0.018876
8,25,0.034113,0.000000
8,26,0.000000,0.077936
8,27,0.058627,0.617475
8,28,0.027198,0.278912
8,32,0.000000,0.295685
8,35,0.021150,0.025853
8,36,0.031933,0.050214
9,6,0.051699,0.000000
9,12,0.000000,0.037798
9,13,0.114785,0.000000
9,14,0.178578,0.007368
9,15,0.224045,0.062494
9,17,0.050925,0.000000
9,20,0.054200,0.000000
9,22,0.446618,0.068689
9,23,0.057475,0.069914
9,24,0.064540,0.000000
9,25,0.047355,0.010204
9,26,0.055924,0.117332
9,28,0.072584,0.219340
9,29,0.271373,0.000000
9,32,0.047600,0.000000
9,34,0.388997,0.039164
9,35,0.081917,0.017157
9,36,0.000000,0.059832
9,38,0.035098,0.076195
10,35,0.088148,0.463505
11,9,0.016914,0.000000
11,10,0.000000,0.028780
11,20,0.000000,0.015866
11,38,0.000000,0.026021
12,1,0.000000,0.025684
12,5,0.015821,0.000000
12,14,0.050620,0.000000
12,19,0.013714,0.000000
12,20,0.000000,0.029363
12,21,0.052541,0.041280
12,23,0.037868,0.366097
12,27,0.063273,0.000000
12,30,0.028525,0.050441
12,32,0.021524,0.000000
12,33,0.032478,0.000000
12,35,0.443908,0.000000
13,1,0.000000,0.093526
13,2,0.103178,0.000000
13,4,0.000000,0.018419
13,5,0.078063,0.086833
13,6,0.000000,0.027934
13,7,0.466643,0.044874
13,9,0.079560,1.205709
13,10,0.000000,0.089153
13,11,0.000000,0.245200
13,12,0.000000,0.103046
13,17,0.000000,0.031144
