element,GW,expected_goals,expected_assists
1,14,0.153312,0.000000
1,23,0.020708,0.000000
1,24,0.000000,0.435440
1,25,0.038951,0.000000
1,26,0.135690,0.000000
1,27,0.061262,0.000000
1,30,0.014712,0.035264
1,34,0.010935,0.000000
1,35,0.086285,0.000000
2,12,0.034007,0.108547
2,24,0.032474,0.000000
2,25,0.079929,0.000000
2,27,0.041720,0.000000
2,31,0.080816,0.000000
2,34,0.074310,0.222806
2,35,0.054094,0.036450
3,4,0.130884,0.085819
3,5,0.000000,0.099981
3,6,0.000000,0.075694
3,9,0.012974,0.513401
3,12,0.027675,0.000000
3,14,0.000000,0.013930
3,16,0.000000,0.255692
3,35,0.062729,0.000000
3,38,0.000000,0.046110
4,1,0.000000,0.358279
4,2,0.019022,0.035317
4,4,0.032673,0.127709
4,5,0.000000,0.513237
4,6,0.322816,0.032716
4,17,0.000000,0.064302
4,18,0.000000,0.054787
4,38,0.092574,0.159131
5,2,0.000000,0.293204
5,6,0.079985,0.322259
5,10,0.073559,0.000000
5,11,0.016308,0.000000
5,13,0.099910,0.000000
5,21,0.726114,0.000000
5,29,0.336732,0.000000
6,1,0.000000,0.276568
6,2,0.000000,0.098961
6,3,0.040406,0.000000
10,38,0.100467,0.000000
11,1,0.654176,0.000000
11,2,0.197699,0.082673
11,3,0.259041,0.098123
11,4,0.523113,0.047717
11,5,0.689249,0.000000
11,6,0.584343,0.000000
11,7,0.379308,0.331413
11,8,0.713889,0.055811
11,9,0.082131,0.000000
11,10,0.142836,0.076466
11,11,0.476506,0.000000
11,12,0.122006,0.510218
11,13,0.434203,0.000000
11,14,1.083546,0.109679
11,15,0.205105,0.276028
11,16,0.600784,0.479590
11,17,0.090525,0.000000
11,18,0.731825,0.000000
11,19,0.570377,0.000000
11,20,0.407559,0.083304
11,21,0.096148,0.056042
11,22,0.398804,0.000000
11,25,0.658200,0.160259
11,26,0.496051,0.000000
11,27,0.405462,0.000000
11,29,0.023471,0.322873
11,30,0.771514,0.069159
11,31,0.309124,0.000000
11,32,0.760731,0.266004
11,33,0.104485,0.307713
11,34,0.513755,0.000000
11,35,0.199980,0.040206
11,36,0.000000,0.251025
11,37,0.117297,0.000000
11,38,1.220215,0.047742
12,2,0.384649,0.020970
12,4,0.480339,0.116446
12,9,0.000000,0.018305
12,10,0.224641,0.083835
12,11,0.198649,0.456240
12,12,0.746176,0.000000
12,13,0.637229,0.039620
12,14,0.136121,0.075268
12,15,0.036151,0.141701
12,19,0.299768,0.133558
12,21,0.234193,0.119824
12,22,1.006548,0.404613
12,23,0.079367,0.021033
12,25,0.398845,0.087086
12,26,0.443159,0.493881
12,29,0.507038,0.054317
12,30,0.126251,0.000000
12,31,0.294202,0.000000
12,32,0.300795,0.000000
12,33,0.449078,0.000000
12,34,0.370053,0.074333
12,35,0.013180,0.095342
12,36,0.593939,0.295532
13,23,0.051810,0.053358
13,26,0.603505,0.000000
13,27,0.625100,0.000000
13,29,0.321707,0.081102
13,30,0.100501,0.012262
13,31,0.871875,0.000000
13,32,0.000000,0.045089
13,33,0.166505,0.000000
13,37,0.454972,0.000000
13,38,0.000000,0.324095
15,5,0.000000,0.012832
15,11,0.000000,0.132466
15,12,0.000000,0.062935
15,13,0.044532,0.211886
15,14,0.176162,0.097644
15,15,0.090621,0.032163
15,16,0.494788,0.100732
15,17,0.000000,0.013286
15,19,0.099742,0.188495
15,20,0.000000,0.115748
15,21,0.000000,0.089375
15,23,0.000000,0.082431
15,25,0.017305,0.123636
15,26,0.555116,0.130460
15,27,0.000000,0.024473
15,29,0.091158,0.451106
16,1,0.310859,0.120550
16,4,0.083747,0.103658
17,3,0.134813,0.000000
17,4,0.402662,0.032458
17,5,0.258761,0.026038
17,6,0.000000,0.059545
17,7,0.000000,0.091661
17,8,0.484926,0.028042
17,9,0.395184,0.200510
17,10,0.066049,0.000000
17,11,0.000000,0.060799
17,12,0.108684,0.111881
17,13,0.040947,0.043884
17,14,0.000000,0.296946
17,15,0.058875,0.348313
17,16,0.000000,0.060233
17,17,0.052996,0.000000
17,25,0.000000,0.100602
17,27,0.126728,0.014394
17,31,0.000000,0.149815
17,32,0.000000,0.045071
17,34,0.092511,0.000000
17,35,0.000000,0.062027
17,36,0.054027,0.086175
18,1,0.034721,0.076547
18,4,0.015897,0.075180
18,5,0.014423,0.000000
18,6,0.000000,0.036833
18,9,0.064903,0.000000
18,10,0.000000,0.065444
18,15,0.000000,0.069604
18,16,0.013553,0.000000
18,19,0.000000,0.121253
18,22,0.034071,0.000000
18,25,0.000000,0.249564
18,29,0.013551,0.000000
18,32,0.333681,0.043570
18,34,0.000000,0.044926
18,35,0.000000,0.011726
19,2,0.087615,0.000000
19,3,0.069934,0.035948
19,4,0.019056,0.104241
19,5,0.065659,0.000000
19,6,0.122079,0.019947
19,7,0.329356,0.000000
19,11,0.165653,0.000000
19,13,0.045528,0.000000
19,14,0.060795,0.000000
19,15,0.030720,0.021969
19,16,0.105721,0.013321
19,17,0.014933,0.016237
19,18,0.000000,0.081904
19,19,0.035918,0.011962
19,20,0.050294,0.000000
19,21,0.100934,0.000000
19,23,0.013021,0.000000
19,24,0.000000,0.028891
19,25,0.013411,0.283223
19,27,0.000000,0.057351
19,37,0.008175,0.000000
21,1,0.000000,0.063323
21,2,0.077902,0.000000
21,4,0.106890,0.315429
21,5,0.000000,0.061711
21,6,0.023592,0.144620
21,7,0.111344,0.000000
21,8,0.066784,0.044664
21,10,0.018825,0.150581
21,12,0.000000,0.030256
21,13,0.000000,0.041793
21,14,0.030250,0.016740
21,17,0.035683,0.000000
21,25,0.015558,0.000000
22,2,0.000000,0.427157
22,6,0.000000,0.078661
22,15,0.075301,0.463461
22,16,0.042170,0.101390
22,19,0.050696,0.013082
22,20,0.000000,0.015673
22,22,0.000000,0.054915
22,31,0.011658,0.000000
22,35,0.000000,0.448309
22,36,0.000000,0.185783
22,37,0.000000,0.026910
24,2,0.087405,0.051512
24,12,0.029138,0.000000
24,32,0.000000,0.069713
24,33,0.000000,0.263459
25,17,0.011015,0.000000
25,19,0.069961,0.000000
25,21,0.462783,0.000000
25,24,0.067527,0.000000
25,25,0.000000,0.105185
25,26,0.136340,0.000000
25,30,1.631223,0.295949
25,31,0.113349,0.000000
25,32,0.039889,0.000000
25,34,0.062160,0.000000
26,18,0.000000,0.067330
26,21,0.145758,0.000000
28,1,0.000000,0.017265
28,4,0.000000,0.031421
28,6,0.073394,0.000000
28,7,0.178194,0.011783
28,8,0.043608,0.620084
28,9,0.372701,0.055471
28,11,0.018246,0.000000
28,13,0.100636,1.101175
28,18,0.014949,0.000000
28,19,0.095656,0.062328
28,20,0.011590,0.336972
28,22,0.000000,0.032791
28,23,0.000000,0.042141
28,27,0.047084,0.000000
28,29,0.131639,0.384177
