element,GW,starts,understat_matches
1,1,1,1
1,2,1,1
1,3,1,1
1,30,1,1
4,2,0,1
4,3,1,1
4,4,1,1
4,5,1,1
4,6,1,1
4,7,1,1
4,8,1,1
4,9,1,1
4,10,1,1
4,11,1,1
4,12,1,1
4,13,1,1
4,14,1,1
4,15,0,1
5,2,1,1
5,3,1,1
5,4,0,1
5,18,0,1
5,24,1,1
5,26,2,2
5,28,1,1
5,29,2,2
5,30,1,1
5,31,1,1
5,32,1,1
5,33,1,2
5,34,1,1
5,35,0,1
5,36,2,2
5,37,0,1
5,38,1,1
6,3,0,1
6,7,0,1
6,8,0,1
6,9,1,1
6,10,1,1
6,11,1,1
6,12,1,1
6,13,0,1
6,14,0,1
6,15,1,1
6,16,1,1
6,17,1,1
6,18,1,1
6,19,1,1
6,21,1,1
6,23,1,1
6,24,1,1
6,26,2,2
6,28,1,1
6,29,2,2
6,30,1,1
6,31,1,1
6,32,1,1
6,33,0,1
6,36,0,2
6,37,0,1
6,38,0,1
7,1,1,1
7,2,1,1
7,3,1,1
7,6,1,1
7,15,1,1
7,16,1,1
7,17,1,1
7,18,1,1
7,19,1,1
7,21,1,1
7,24,1,1
7,26,2,2
7,28,1,1
7,29,2,2
7,30,1,1
7,31,1,1
7,32,1,1
7,33,2,2
7,34,1,1
7,35,1,1
7,36,2,2
7,37,1,1
7,38,1,1
8,1,1,1
8,2,1,1
10,1,1,1
10,3,1,1
10,24,0,1
10,25,1,1
10,26,1,1
10,28,2,2
10,29,1,1
10,35,1,1
10,36,1,1
10,37,1,2
10,38,1,1
11,3,1,1
11,10,0,1
12,3,0,1
12,11,0,1
12,12,0,1
12,13,0,1
12,14,1,1
12,19,0,1
12,21,0,1
12,33,1,1
12,34,1,1
12,35,1,1
12,36,2,2
12,37,1,1
12,38,1,1
13,3,0,1
13,4,1,1
13,5,0,1
13,6,0,1
13,7,0,1
13,9,0,1
13,11,1,1
13,12,0,1
14,2,1,1
14,3,1,1
14,16,0,1
14,19,1,1
14,21,0,1
14,23,1,1
14,24,0,1
14,28,0,1
14,30,0,1
14,33,1,1
14,34,0,1
14,35,1,1
14,36,2,2
14,38,1,1
15,4,0,1
15,5,1,1
15,6,1,1
15,7,1,1
15,8,1,1
15,9,1,1
15,10,1,1
15,12,1,1
15,13,1,1
15,14,1,1
15,15,1,1
15,16,1,1
15,17,1,1
15,18,1,1
15,19,1,1
15,21,1,1
15,24,1,1
15,26,2,2
15,28,1,1
15,29,2,2
15,30,1,1
15,31,1,1
16,1,1,1
16,2,1,1
16,3,1,1
16,4,1,1
16,5,1,1
16,6,1,1
16,7,1,1
16,8,1,1
16,15,1,1
16,16,1,1
16,17,1,1
16,18,1,1
16,19,1,1
16,21,1,1
16,23,1,1
16,24,1,1
16,26,2,2
16,28,1,1
16,29,2,2
16,30,1,1
17,1,1,1
17,2,1,1
17,4,1,1
17,5,1,1
17,7,0,1
17,8,1,1
17,10,0,1
17,16,0,1
17,19,0,1
17,26,0,2
17,28,0,1
17,29,0,2
17,30,0,1
17,32,0,1
17,33,0,1
17,36,0,1
17,37,0,1
17,38,0,1
19,2,1,1
19,3,1,1
19,4,1,1
19,5,1,1
19,6,1,1
19,7,1,1
19,8,1,1
19,9,0,1
19,10,0,1
19,12,1,1
19,13,1,1
19,14,1,1
19,15,1,1
19,16,1,1
19,17,0,1
19,18,1,1
19,23,1,1
19,24,1,1
19,25,1,1
19,26,1,1
19,27,1,1
19,28,2,2
19,29,1,1
19,31,1,1
19,33,0,2
19,34,1,1
19,35,1,1
20,14,0,1
20,15,0,1
20,17,0,1
20,23,0,1
20,24,0,1
20,26,0,2
20,28,0,1
20,29,0,2
20,30,0,1
20,31,0,1
20,32,0,1
20,33,2,2
20,34,1,1
20,35,1,1
20,36,2,2
20,37,1,1
20,38,1,1
21,1,1,1
21,2,1,1
21,3,1,1
21,4,0,1
21,5,1,1
21,6,1,1
21,7,1,1
21,8,1,1
21,9,1,1
21,10,1,1
21,11,1,1
21,12,1,1
21,13,1,1
21,14,1,1
21,17,0,1
21,18,0,1
21,19,0,1
21,21,0,1
21,23,1,1
21,24,0,1
21,26,1,1
21,29,0,2
21,30,1,1
21,31,1,1
21,32,1,1
21,33,1,2
21,34,1,1
21,35,0,1
21,36,0,2
21,37,1,1
22,1,0,1
22,2,1,1
22,3,1,1
22,4,1,1
22,5,1,1
22,6,1,1
22,7,1,1
22,8,1,1
22,9,1,1
22,10,1,1
22,11,1,1
22,12,1,1
22,13,1,1
22,14,0,1
22,15,1,1
22,16,1,1
22,17,1,1
22,18,1,1
22,19,1,1
22,21,1,1
22,23,1,1
22,24,1,1
22,26,2,2
22,28,1,1
22,29,2,2
22,30,1,1
22,31,1,1
22,32,1,1
22,33,2,2
22,34,1,1
22,35,1,1
22,36,2,2
22,37,1,1
22,38,1,1
23,4,1,1
23,5,1,1
23,6,1,1
23,7,1,1
23,8,1,1
23,9,1,1
23,10,1,1
23,11,1,1
23,12,1,1
23,13,1,1
23,14,1,1
23,15,1,1
23,16,1,1
23,17,1,1
23,18,1,1
23,19,1,1
23,21,1,1
23,23,1,1
23,24,1,1
23,26,2,2
23,28,1,1
23,29,2,2
23,30,1,1
23,31,1,1
23,32,1,1
23,33,2,2
23,34,1,1
23,35,1,1
23,36,2,2
23,37,1,1
23,38,1,1
26,1,1,1
26,2,1,1
26,8,0,1
26,9,0,1
26,11,0,1
26,13,0,1
26,14,1,1
26,15,1,1
26,16,1,1
26,17,1,1
26,18,1,1
26,19,1,1
26,21,1,1
26,23,1,1
26,24,1,1
26,26,1,1
26,28,1,1
26,29,2,2
26,31,0,1
26,32,1,1
26,33,1,2
26,34,0,1
26,35,1,1
26,36,2,2
26,37,0,1
26,38,1,1
28,4,1,1
30,1,1,1
30,2,1,1
30,3,1,1
30,5,1,1
30,6,1,1
30,7,1,1
30,8,1,1
30,9,1,1
30,10,1,1
30,11,1,1
30,12,1,1
30,13,1,1
30,14,1,1
30,15,1,1
30,16,1,1
30,17,1,1
30,19,1,1
30,21,1,1
30,22,1,1
30,23,1,1
30,24,1,1
30,25,1,1
30,26,1,1
30,27,1,1
30,28,2,2
30,29,1,1
30,30,1,1
30,31,1,1
30,32,1,1
30,34,1,1
30,35,1,1
30,36,2,2
30,37,2,2
32,1,0,1
32,4,0,1
32,5,0,1
32,7,0,1
32,19,0,1
32,21,1,1
32,30,0,1
32,36,0,1
32,37,0,1
33,1,1,1
33,2,1,1
33,3,1,1
33,4,1,1
33,5,1,1
33,6,1,1
33,7,1,1
33,9,1,1
33,10,1,1
33,14,0,1
33,15,1,1
33,16,1,1
33,17,1,1
33,20,1,1
33,22,1,1
33,23,1,1
33,24,0,1
33,28,1,1
33,29,1,1
33,31,1,1
33,32,0,1
33,34,1,1
33,35,1,1
33,36,1,2
33,37,1,1
34,14,0,1
34,15,0,1
34,16,0,1
34,19,1,1
34,21,0,1
34,22,1,1
34,27,0,1
34,28,0,2
34,31,1,1
35,1,1,1
35,2,1,1
35,4,1,1
35,5,1,1
35,6,1,1
35,7,1,1
35,8,1,1
35,9,1,1
35,10,1,1
35,11,1,1
35,12,1,1
35,13,1,1
35,14,1,1
35,15,1,1
35,16,1,1
35,17,1,1
35,21,1,1
35,23,1,1
35,24,1,1
35,25,1,1
35,26,1,1
35,27,1,1
35,28,2,2
35,29,1,1
35,30,1,1
35,31,1,1
35,32,1,1
35,34,1,1
35,35,1,1
35,36,2,2
35,37,2,2
35,38,1,1
36,3,0,1
36,6,1,1
36,7,1,1
36,10,1,1
36,21,1,1
36,22,0,1
36,23,0,1
37,21,0,1
38,1,1,1
38,2,1,1
38,4,1,1
38,5,1,1
38,6,1,1
38,7,1,1
38,8,1,1
38,9,1,1
38,10,0,1
38,11,1,1
38,12,1,1
38,13,1,1
38,14,1,1
38,15,1,1
38,16,1,1
38,17,1,1
38,19,1,1
38,22,1,1
38,23,1,1
38,24,1,1
38,25,1,1
38,26,1,1
38,27,1,1
38,28,2,2
38,29,1,1
38,30,1,1
38,31,1,1
38,32,1,1
38,34,1,1
38,35,1,1
38,36,2,2
38,37,2,2
38,38,1,1
39,1,1,1
39,3,1,1
39,4,1,1
39,5,1,1
39,6,1,1
39,7,1,1
39,8,1,1
39,9,1,1
39,10,1,1
39,11,1,1
39,12,1,1
39,13,1,1
39,14,1,1
39,16,1,1
39,17,1,1
39,19,1,1
39,21,1,1
39,24,1,1
39,26,1,1
39,27,1,1
39,28,2,2
39,29,2,2
39,31,1,1
39,32,1,1
39,33,2,2
39,34,1,1
39,35,1,1
39,36,1,1
39,37,1,1
39,38,1,1
40,3,0,1
40,4,1,1
40,5,1,1
40,6,1,1
40,7,1,1
40,8,1,1
40,9,1,1
40,10,1,1
40,11,1,1
40,12,1,1
40,13,1,1
40,14,1,1
40,15,1,1
40,16,1,1
40,17,1,1
40,19,1,1
40,22,1,1
40,23,1,1
40,24,1,1
40,25,1,1
40,26,0,1
40,27,1,1
40,28,2,2
40,29,1,1
40,30,1,1
40,31,1,1
40,32,1,1
40,34,1,1
40,35,1,1
40,36,2,2
40,37,2,2
40,38,1,1
41,1,1,1
41,3,0,1
41,4,0,1
41,5,0,1
41,8,0,1
41,10,1,1
41,11,1,1
41,12,1,1
41,13,1,1
41,14,1,1
41,15,1,1
41,16,1,1
41,34,0,1
41,36,1,1
41,37,1,1
41,38,0,1
42,1,1,1
42,2,1,1
42,3,1,1
42,9,0,1
42,10,0,1
42,11,1,1
42,12,0,1
42,13,0,1
42,19,0,1
42,25,0,1
42,27,0,1
43,1,1,1
43,2,1,1
43,3,1,1
43,6,0,1
43,7,0,1
43,8,1,1
43,9,1,1
43,10,1,1
43,11,1,1
43,12,1,1
43,13,0,1
43,14,1,1
43,15,1,1
43,16,0,1
43,17,1,1
43,19,1,1
43,21,1,1
43,22,1,1
43,23,1,1
43,24,1,1
43,25,1,1
43,26,1,1
43,28,0,2
43,29,0,1
43,30,1,1
43,31,0,1
43,32,0,1
43,34,0,1
43,35,0,1
43,36,1,2
43,37,1,2
43,38,1,1
44,1,1,1
44,2,1,1
44,3,1,1
44,4,1,1
44,5,1,1
44,6,1,1
44,7,1,1
44,8,1,1
44,9,1,1
44,10,1,1
44,11,1,1
44,12,1,1
44,13,1,1
44,14,1,1
44,15,1,1
44,16,1,1
44,17,1,1
44,19,1,1
44,21,1,1
44,22,1,1
44,23,1,1
44,24,1,1
44,25,1,1
44,26,1,1
44,27,1,1
44,28,2,2
44,29,1,1
44,30,1,1
44,31,1,1
44,32,1,1
44,34,1,1
44,35,1,1
44,36,2,2
44,37,2,2
44,38,1,1
45,1,1,1
45,2,1,1
45,3,1,1
45,4,1,1
45,5,1,1
45,6,1,1
45,7,1,1
45,8,1,1
45,9,1,1
45,10,1,1
45,12,1,1
45,13,1,1
45,14,1,1
45,15,1,1
45,16,1,1
45,17,1,1
45,19,1,1
45,21,1,1
45,22,1,1
45,23,1,1
45,24,1,1
45,27,1,1
45,30,1,1
45,31,1,1
45,32,1,1
45,34,1,1
45,36,2,2
45,37,1,1
47,2,0,1
49,11,0,1
50,2,1,1
50,3,1,1
50,4,1,1
50,5,1,1
50,6,1,1
50,7,1,1
50,8,1,1
50,9,1,1
50,13,0,1
50,14,1,1
50,15,1,1
50,16,1,1
50,17,1,1
50,19,1,1
50,21,1,1
50,22,1,1
50,23,1,1
50,24,1,1
50,25,1,1
50,26,1,1
50,27,1,1
50,28,2,2
50,29,1,1
50,30,1,1
50,31,0,1
50,32,1,1
50,34,1,1
50,35,0,1
50,36,2,2
50,37,2,2
50,38,1,1
51,1,0,1
51,2,1,1
51,4,1,1
51,5,1,1
51,6,1,1
51,7,1,1
51,8,0,1
51,9,0,1
51,10,1,1
51,11,0,1
51,12,1,1
51,13,1,1
51,15,1,1
51,16,1,1
51,17,1,1
51,19,1,1
51,21,1,1
51,22,1,1
51,23,1,1
51,24,1,1
51,25,1,1
51,26,1,1
51,27,1,1
51,28,2,2
51,29,1,1
51,30,1,1
51,31,1,1
51,32,1,1
51,34,1,1
51,35,1,1
51,37,1,2
51,38,1,1
52,1,1,1
52,2,1,1
52,3,1,1
52,5,0,1
52,8,0,1
52,10,0,1
52,12,0,1
52,13,1,1
52,14,0,1
52,15,1,1
52,16,1,1
52,17,1,1
52,24,0,1
52,26,0,1
52,27,0,1
52,28,1,2
52,29,0,1
52,30,1,1
52,31,0,1
52,32,0,1
52,34,1,1
52,36,0,1
52,38,0,1
53,1,0,1
53,2,1,1
53,3,1,1
53,4,1,1
53,5,1,1
53,6,1,1
53,7,1,1
53,8,1,1
53,9,1,1
53,10,1,1
53,11,1,1
53,12,1,1
53,14,1,1
53,17,0,1
53,19,1,1
