element,GW,expected_goals,expected_assists
4,2,0.036590,0.000000
4,4,0.892683,0.129896
4,5,0.046339,0.216929
4,6,0.200042,0.000000
4,7,0.038689,0.000000
4,8,0.473195,0.095221
4,9,1.509666,0.146566
4,10,0.567103,0.000000
4,11,0.742417,0.000000
4,12,0.074390,0.066446
4,13,1.088663,0.000000
4,14,0.590225,0.000000
4,15,0.072930,0.000000
5,2,0.000000,0.073250
5,4,0.022736,0.081337
5,26,0.014514,0.113310
5,28,0.028080,0.032698
5,29,0.096502,0.000000
5,30,0.000000,0.098100
5,32,0.082249,0.271141
5,33,0.061458,0.197166
5,36,0.039811,0.031064
5,37,0.011931,0.000000
5,38,0.092600,0.343807
6,8,0.287894,0.100461
6,9,0.000000,0.038792
6,11,0.090911,0.033344
6,12,0.000000,0.082233
6,13,0.099525,0.000000
6,16,0.331507,0.034340
6,17,0.833404,0.303745
6,18,0.901378,0.377555
6,19,1.256173,0.034673
6,21,0.041875,0.028434
6,23,0.468134,0.170530
6,24,0.348077,0.753703
6,26,0.790591,0.224229
6,28,0.189007,0.104120
6,29,0.914393,0.301308
6,30,0.111603,0.000000
6,31,0.184403,0.000000
6,32,0.000000,0.073100
6,38,0.157066,0.000000
7,1,0.068324,0.029611
7,2,0.000000,0.032032
7,16,0.039614,0.000000
7,17,0.238345,0.000000
7,18,0.067641,0.585055
7,19,0.000000,0.114404
7,26,0.067348,0.180223
7,28,0.041516,0.036929
7,29,0.184656,0.361960
7,30,0.000000,0.075869
7,31,0.021971,0.000000
7,32,0.014552,0.012219
7,33,0.130639,0.051223
7,34,0.016987,0.026496
7,35,0.000000,0.078837
7,36,0.035914,0.242075
7,37,0.076140,0.012316
7,38,0.013819,0.142649
8,1,0.029002,0.000000
8,2,0.000000,0.348603
10,1,0.056770,0.045414
10,28,0.039760,0.000000
10,29,0.085148,0.000000
10,37,0.062365,0.099206
12,11,0.000000,0.041659
12,13,0.000000,0.023479
12,14,0.014301,0.011913
12,33,0.016161,0.030140
12,34,0.018770,0.015113
12,35,0.029125,0.101472
12,36,0.000000,0.089090
12,37,0.027113,0.010615
12,38,0.038442,0.000000
13,4,0.018033,0.104957
13,11,0.009271,0.080883
14,2,0.391825,0.000000
14,16,0.015522,0.000000
14,23,0.041848,0.000000
14,35,0.065836,0.000000
15,4,0.042015,0.000000
15,5,0.043897,0.023369
15,6,0.038033,0.041274
15,7,0.073447,0.045652
15,8,0.045825,0.041320
15,9,0.971490,0.000000
15,10,0.026538,0.000000
15,12,0.007993,0.000000
15,13,0.019250,0.000000
15,14,0.057848,0.000000
15,15,0.012514,0.000000
15,16,0.018263,0.129390
15,17,0.082542,0.000000
15,18,0.091130,0.000000
15,19,0.101376,0.049186
15,21,0.000000,0.060396
15,24,0.082622,0.000000
15,26,0.210141,0.223607
15,28,0.054577,0.045925
15,29,0.743800,0.017890
15,30,0.053729,0.031439
16,1,0.140382,0.222842
16,3,0.000000,0.095473
16,4,0.035197,0.059597
16,6,0.024427,0.000000
16,8,0.044843,0.014830
16,15,0.000000,0.086690
16,16,0.000000,0.096398
16,17,0.010923,0.000000
16,18,0.071037,0.000000
16,19,0.125933,0.000000
16,21,0.000000,0.081077
16,23,0.051699,0.049676
16,26,0.060094,0.134593
16,28,0.000000,0.098980
16,29,0.000000,0.078810
17,1,0.195132,0.127747
17,4,0.841296,0.765206
17,5,0.526578,0.120282
17,8,0.178246,0.000000
17,19,0.064859,0.000000
17,26,0.597029,0.000000
17,28,0.059643,0.000000
17,32,0.615803,0.000000
17,33,0.057574,0.000000
17,38,0.032177,0.074644
19,2,0.000000,0.011193
19,4,0.074624,0.000000
19,5,0.022681,0.030706
19,6,0.455816,0.091306
19,12,0.000000,0.079458
19,13,0.022606,0.000000
19,14,0.000000,0.088513
19,15,0.535722,0.131570
19,16,0.064452,0.029608
19,23,0.375181,0.102115
19,24,0.170644,0.000000
19,25,0.172582,0.027209
19,26,0.212332,0.000000
19,27,0.503624,0.138932
19,28,0.255510,0.063520
19,29,0.120199,0.059173
19,31,0.229718,0.000000
19,34,0.162833,0.069024
20,15,0.445354,0.218188
20,26,0.000000,0.412859
20,28,0.092905,0.000000
20,31,0.030905,0.276220
20,32,0.608145,0.064906
20,33,0.698473,0.028589
20,34,0.418526,0.109452
20,35,0.363448,0.049520
20,36,1.300933,0.000000
20,37,0.041243,0.070798
20,38,0.587857,0.130564
21,1,0.121736,0.100189
21,2,0.114464,0.000000
21,4,0.103535,0.130112
21,5,0.224027,0.000000
21,6,0.493979,0.124767
21,7,0.051313,0.029270
21,8,0.104808,0.013088
21,9,0.149390,0.478878
21,10,0.095866,0.427270
21,11,0.144784,0.000000
21,13,0.444446,0.422976
21,14,0.013390,0.052886
21,17,0.126841,0.013840
21,18,0.338152,0.019825
21,19,0.671232,0.000000
21,23,0.155575,0.393550
21,26,0.114296,0.000000
21,29,0.229571,0.016198
21,30,0.638800,0.000000
21,31,0.275299,0.107730
21,32,0.054543,0.067946
21,33,0.261821,0.067696
21,36,0.000000,0.012877
22,1,0.000000,0.036434
22,2,0.017443,0.028587
22,3,0.107311,0.000000
22,4,0.427150,0.217842
22,5,0.063660,0.000000
22,6,0.525481,0.473326
22,7,0.094926,0.034421
22,8,0.000000,0.032683
22,9,0.645130,0.327264
22,10,0.166222,0.148984
22,11,0.000000,0.115347
22,12,0.145818,0.000000
22,13,0.523978,0.312718
22,14,0.024639,0.000000
22,15,0.016455,0.396227
22,16,0.574205,0.364407
22,17,0.207718,0.249121
22,18,0.775318,0.076125
