element,GW,expected_goals,expected_assists
2,5,0.000000,0.025585
3,1,0.000000,0.037200
3,2,0.599716,0.076305
3,3,0.000000,0.092443
3,4,0.107044,0.149816
3,5,0.000000,0.041640
3,6,0.117590,0.010100
3,8,0.019790,0.593730
3,9,0.407663,0.039401
3,10,0.060393,0.000000
3,13,0.383767,0.194365
3,14,0.036132,0.170974
3,15,0.052544,0.000000
6,1,0.047656,0.047851
6,2,0.224590,0.000000
6,9,0.042920,0.104022
6,10,0.000000,0.051589
6,13,0.000000,0.028638
6,14,0.101236,0.078850
6,15,0.676937,0.000000
7,1,0.107640,0.000000
7,2,0.044664,0.058866
7,3,0.646528,0.000000
7,4,0.148018,0.126300
7,5,0.269540,0.159186
7,6,0.113987,0.308854
7,9,0.105154,0.271330
7,10,0.186730,0.379875
7,11,0.179626,0.369595
7,13,0.056396,0.702167
7,14,0.201804,0.603455
7,15,0.092569,0.127116
8,4,0.010005,0.026703
8,5,0.161740,0.000000
8,8,0.024347,0.077116
8,9,0.016865,0.000000
10,1,0.000000,0.065504
10,3,0.000000,0.112239
10,5,0.000000,0.478046
10,8,0.000000,0.042569
10,9,0.016121,0.286954
10,13,0.000000,0.319046
10,14,0.101375,0.000000
10,15,0.074946,0.017208
11,1,0.000000,0.079767
11,2,0.068911,0.000000
11,3,0.258368,0.066450
11,4,0.544892,0.000000
11,5,0.078704,0.000000
11,11,0.042432,0.000000
11,13,0.065608,0.000000
11,14,0.000000,0.027363
12,2,0.000000,0.058735
12,3,0.077790,0.220706
12,5,0.000000,0.017458
12,6,0.069634,0.000000
13,1,0.226077,0.000000
13,2,0.076805,0.255668
13,3,0.040911,0.135864
13,4,0.149984,0.080720
13,5,0.568540,0.173837
13,6,0.557744,0.009255
13,8,0.209989,0.103392
13,9,0.204935,0.109005
13,10,1.832828,0.000000
13,11,0.066303,0.082410
13,13,0.068015,0.000000
13,14,0.100434,0.176553
13,15,0.080709,0.774854
14,5,0.000000,0.067231
14,14,0.052501,0.033851
16,2,0.055555,0.000000
16,3,0.051137,0.000000
16,4,0.817538,0.079415
16,5,0.199608,0.000000
16,6,0.016809,0.000000
16,8,0.024921,0.000000
16,11,0.096473,0.000000
16,13,0.033525,0.000000
16,15,0.788550,0.000000
18,6,0.000000,0.014359
19,1,0.854369,0.053169
19,2,0.045195,0.474365
19,3,0.517757,0.000000
19,4,0.372545,0.484444
19,5,0.204854,0.451910
19,6,0.290574,0.073524
19,8,0.092809,0.129920
19,9,0.100220,0.339850
19,10,0.466392,0.854470
19,11,0.047589,0.016208
19,13,0.132181,0.000000
19,14,0.193229,0.020101
19,15,0.065562,0.247594
21,15,0.000000,0.081754
23,14,1.342908,0.127786
25,6,0.083044,0.000000
25,8,0.019525,0.080981
25,9,0.077279,0.014407
25,11,0.000000,0.036246
25,14,0.124205,0.000000
26,3,0.078762,0.000000
26,4,0.000000,0.698365
26,5,0.000000,0.059236
26,6,0.085501,0.000000
26,8,0.081720,0.000000
26,14,0.000000,0.030865
28,1,0.176751,0.000000
28,2,1.803861,0.479352
28,3,0.124126,0.315455
28,4,0.256125,0.152907
28,5,1.251516,0.076004
28,6,0.047728,0.334080
28,8,0.810198,0.000000
28,9,1.429740,0.076358
28,10,0.217414,0.000000
28,11,0.366361,0.088723
28,13,0.795336,0.000000
28,14,0.806746,0.944654
28,15,0.480152,0.130787
29,1,0.056301,0.030377
29,3,0.065355,0.000000
29,4,0.010365,0.045281
29,8,0.178682,0.067196
29,9,0.743061,0.066452
29,10,0.077335,0.009496
29,11,0.013718,0.000000
30,1,0.173225,0.012747
30,2,0.255881,0.000000
30,3,0.078210,0.000000
30,4,0.049624,0.000000
30,8,0.097923,0.000000
30,9,0.000000,0.027538
30,11,0.742534,0.000000
30,12,0.344651,0.012588
30,13,1.326645,0.179843
30,14,0.000000,0.031756
31,13,0.000000,0.072735
33,1,0.000000,0.073695
33,2,0.031759,0.000000
33,3,0.112522,0.033014
33,4,0.000000,0.095226
33,15,0.044583,0.000000
37,1,0.040009,0.000000
37,2,0.055258,0.544570
37,4,0.024985,0.000000
37,8,0.000000,0.017723
37,9,0.048150,0.000000
37,10,0.159750,0.000000
37,11,0.363819,0.446994
37,12,0.014736,0.020277
39,8,0.000000,0.091274
39,9,0.032237,0.000000
39,11,0.000000,0.014990
40,1,0.000000,0.018538
40,2,0.492227,0.945534
40,3,0.351797,0.000000
40,4,0.092650,0.000000
40,6,0.140019,0.000000
40,8,0.078662,0.075380
40,9,0.654724,0.000000
40,10,0.198958,0.034730
40,11,0.558245,0.049780
40,12,0.228947,0.060359
40,13,2.181850,0.020282
40,14,0.000000,0.070480
40,15,0.000000,0.087582
42,1,0.000000,0.012963
42,2,1.055824,0.136344
42,3,0.090409,0.000000
42,4,0.000000,0.019073
42,5,0.169702,0.000000
42,8,0.000000,0.083648
42,9,0.018625,0.244209
42,10,0.060330,0.067333
42,11,0.034837,0.000000
42,12,0.000000,0.063991
42,13,0.255991,0.119255
42,14,0.263243,0.000000
42,15,0.101938,0.000000
43,1,0.016370,0.000000
43,3,0.013543,0.099092
43,4,0.065566,0.000000
43,5,0.000000,0.047998
43,11,0.000000,0.103627
43,13,0.040694,0.000000
43,15,0.015052,0.000000
44,3,0.025198,0.000000
44,9,0.270157,0.000000
44,11,0.033445,0.051867
44,12,0.000000,0.215639
45,1,0.074567,0.009132
45,2,0.000000,0.355714
45,3,0.044322,0.307029
45,4,0.030522,0.000000
45,5,0.106994,0.000000
45,6,0.131562,0.000000
45,8,0.156282,0.000000
45,9,0.095553,0.061018
45,11,0.556859,0.873302
45,12,0.103263,0.027662
45,13,0.168461,0.515107
45,14,0.000000,0.122634
45,15,0.298289,0.087079
46,1,0.025277,0.000000
46,3,0.000000,0.058771
46,5,0.012164,0.000000
46,6,0.000000,0.119608
46,8,0.000000,0.058120
46,9,0.000000,0.250336
46,10,0.107297,0.207232
46,11,0.017548,0.000000
46,13,0.039999,0.109714
46,15,0.000000,0.018617
47,1,0.057240,0.113684
47,2,0.000000,0.064762
47,3,0.000000,0.037861
47,4,0.022328,0.056009
