sweep,run_id,key,value
XPPILOT#1,1786766030-1142414,commit,25320419b8612e32fa473e55acd994ff3aee800e
XPPILOT#1,1786766030-1142414,dirty,false
XPPILOT#1,1786766030-1142414,constants_digest,67455aaa8835
XPPILOT#1,1786766030-1142414,bank_up_to,5
XPPILOT#1,1786766030-1142414,season,2020-21<-2019-20
XPPILOT#1,1786766030-1142414,season,2021-22<-2020-21
XPPILOT#1,1786766030-1142414,season,2022-23<-2021-22
XPPILOT#1,1786766030-1142414,season,2023-24<-2022-23
XPPILOT#1,1786766030-1142414,season,2024-25<-2023-24
XPPILOT#1,1786766030-1142414,season,2025-26<-2024-25
XPPILOT#1,1786766030-1142414,start_gw,1
XPPILOT#1,1786766030-1142414,start_gw,6
XPPILOT#1,1786766030-1142414,start_gw,11
XPPILOT#1,1786766030-1142414,start_gw,16
XPPILOT#1,1786766030-1142414,start_gw,21
XPPILOT#1,1786766030-1142414,start_gw,26
XPPILOT#1,1786766030-1142414,declared_arm,0	half-life 4 (ships)
XPPILOT#1,1786766030-1142414,declared_arm,1	flat (no recency)
XPPILOT#1,1786766030-1142414,declared_arm,2	half-life 2
XPPILOT#1,1786766030-1142414,declared_arm,3	half-life 8
XPPILOT#1,1786766030-1142414,declared_arm,4	half-life 20
XPPILOT#1,1786766030-1142414,constant,chip_plan.bench_boost_gameweek	8
XPPILOT#1,1786766030-1142414,constant,chip_plan.free_hit_gameweek	16
XPPILOT#1,1786766030-1142414,constant,chip_plan.triple_captain_gameweek	9
XPPILOT#1,1786766030-1142414,constant,chip_plan.wildcard_gameweek	6
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
XPPILOT#1,1786766030-1142414,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
XPPILOT#1,1786766030-1142414,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
XPPILOT#1,1786766030-1142414,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
XPPILOT#1,1786766030-1142414,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
XPPILOT#1,1786766030-1142414,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
